1991/04/01???18:47:02,121.03,33.3,4,黄海
1991/03/29???00:47:06,121.17,34.67,3.1,黄海
1991/03/26???02:02:44,113.83,40,6.1,山西大同
1991/03/14???00:31:19,121.1,37.9,4.7,山东长岛东北海中
1991/03/14???04:34:37,121.25,37.95,4.5,山东长岛东北海中
1991/02/26???09:58:50,119.93,37.12,3.6,山东莱州市南
1991/02/26???10:11:49,119.93,37.12,3.4,山东莱州市南
1991/02/09???08:44:35,120.33,33.92,3.6,江苏射阳北
1991/02/07???02:05:43,119.93,37.12,3.3,山东莱州市南
1993/04/30???15:28:51,119.62,38.42,3.2,渤海
1993/04/30???15:30:28,119.7,38.5,3.5,渤海
1993/04/30???15:37:33,119.58,38.33,3.1,渤海
1993/04/25???14:48:43,122.83,39.6,4.2,山东长山群岛
1993/03/29???21:18:29,122.6,36.62,3.1,黄海
1993/03/28???09:16:01,123.6,33.22,5,南黄海
1993/03/18???12:18:57,122.02,39.13,3.8,北黄海
1993/03/17???21:11:35,119.37,37.92,3.2,渤海
1993/03/12???05:55:12,124.5,38.03,3.3,北黄海
1993/03/10???11:05:59,122.18,39.2,4.2,北黄海
1993/02/04???05:08:06,121.13,35.3,3.3,黄海
1993/02/02???03:58:57,121.78,37.02,3,山东乳山东北
1993/01/05???04:54:03,120.32,35.38,3.4,黄海
1992/12/15???21:40:28,119.45,38.12,3.7,渤海
1992/12/15???21:42:47,119.48,38.15,3.5,渤海
1992/12/13???15:51:06,121.18,35.22,3.3,黄海
1992/11/22???05:45:32,121.02,37.28,3,山东栖霞东
1992/11/07???01:59:35,122.03,36.63,3.6,黄海
1992/11/06???08:32:17,122.92,35.28,3.9,黄海
1992/11/04???01:31:23,123.47,35.3,4.9,黄海
1992/11/04???01:42:21,123.33,35.42,3,黄海
1992/11/04???01:54:53,122.55,35.28,3.8,黄海
1992/11/04???12:25:22,122.87,35.38,3.3,黄海
1992/11/03???18:26:21,120.62,34.93,3.1,黄海
1992/10/26???10:51:15,120.15,34,3.1,黄海
1992/10/23???06:02:30,120.43,33.88,4,江苏射阳
1992/10/22???19:07:57,120.45,33.95,4.7,江苏射阳
1992/10/12???14:59:03,121.97,38.23,3.2,黄海
1992/10/12???15:01:37,121.7,37.95,3.6,黄海
1992/09/06???11:58:45,121.48,38.82,3.3,黄海
1992/08/25???03:21:24,121.7,34.2,4.1,黄海
1992/08/25???09:58:15,122.58,39.65,3.4,黄海
1992/08/20???18:58:04,119.37,38.02,3.1,渤海
1992/08/01???02:03:39,122.5,34.75,4.4,黄海
1992/08/01???03:17:16,122.68,34.55,3.1,黄海
1992/07/30???19:47:00,116,37.07,3.8,山东夏津北
1992/07/22???05:43:01,117.8,39.5,4.6,天津宁河北
1992/07/01???08:56:54,120.83,35.15,3.3,黄海
1992/06/30???16:58:18,122.92,37.85,3.2,黄海
1992/06/24???11:55:20,114.7,37.27,3.5,河北省临城
1992/06/07???08:38:04,121.25,37.17,3,山东牟平西南
1992/06/01???17:02:30,123.6,36.73,3.9,黄海
1992/05/29???12:43:07,120.88,37.57,3.1,山东蓬莱东南
1992/05/19???23:45:49,121.05,37.65,3.1,山东蓬莱东南
1992/05/17???09:42:06,121.42,32.53,3.1,黄海
1992/05/10???15:22:58,122.87,37.5,3.2,黄海
1992/04/24???02:20:38,121.1,35.37,3,黄海
1992/04/10???05:32:08,123.3,36.62,3.2,黄海
1992/03/26???03:21:22,123.8,37.17,3.8,黄海
1992/03/25???17:00:38,122.17,33.97,3.4,黄海
1992/03/23???14:23:14,122.35,34.08,3.1,黄海
1992/03/21???06:05:37,121.05,35.23,3.7,黄海
1992/01/24???01:38:11,121.2,35.22,3.2,黄海
1992/01/24???06:18:47,121.22,35.23,3.3,黄海
1992/01/24???10:23:11,121.15,35.2,3.6,黄海
1992/01/23???05:41:25,121.2,35.28,5.3,黄海
1992/01/23???06:03:50,121.1,35.27,3,黄海
1992/01/23???06:47:04,121.37,35.37,3,黄海
1992/01/14???06:21:31,113.62,34.47,4.5,河南登封南
1992/01/08???20:48:10,121.05,37.65,3.1,山东蓬莱县大季庄
1991/12/26???00:01:33,122.4,33.85,3.6,黄海
1991/12/11???06:33:49,120,38.22,3.1,渤海
1991/11/14???01:36:36,122.65,39.25,3.3,长山群岛
1991/11/11???03:09:31,115.1,35.02,3.2,山东东明南
1991/11/05???16:47:24,120.17,33.8,4.5,江苏省射阳西
1991/10/20???07:01:58,120.93,35.5,3.1,黄海
1991/10/19???01:37:23,118.83,35.5,3.5,山东莒县南
1991/10/07???07:25:21,115.12,37.92,3.9,河北省束鹿西
1991/10/05???05:44:41,117.82,39.32,3.8,天津宁河
1991/09/20???17:52:12,114.17,39.47,3.9,山西省灵丘附近
1991/09/17???06:53:45,115.13,38.08,3,河北省深泽南
1991/09/09???00:52:06,122.68,35.42,3.8,黄海
1991/09/09???12:33:40,122.03,37.88,3.1,黄海
1991/09/05???11:17:34,122.43,34.38,4.2,黄海
1991/09/02???04:17:42,119.98,38.82,4.1,渤海
1991/09/01???08:06:35,122.67,35.62,3.7,黄海
1991/08/22???06:23:38,114.63,37.5,4,河北省柏乡
1991/08/21???05:28:27,114.67,37.22,4,河北省隆尧
1991/08/03???12:10:43,119.45,38.23,3.8,渤海
1991/08/02???02:25:44,122.12,34.18,4.2,黄海
1991/07/27???17:54:47,118.83,39.75,4,河北省滦县北
1991/07/01???03:53:11,121.58,34.05,3.4,黄海
1991/06/24???10:04:15,120.32,35.62,3.1,黄海
1991/05/30???07:06:56,116.2,39.62,5,河北省唐山
1991/05/29???19:02:11,118.32,39.7,4.7,河北省唐山
1991/04/26???20:03:33,120.63,37.68,3.1,蓬莱西南
1991/04/25???06:34:48,113.4,36.47,4.2,山西黎城
1991/04/24???02:07:20,119.38,38.13,3.2,渤海
1991/04/14???03:54:15,122,34.8,3.7,黄海
1991/04/07???09:56:51,122.6,34.22,3.6,黄海
1991/04/01???01:27:00,122.08,37.83,3.2,黄海
1991/04/01???18:47:02,121.03,33.3,4,黄海
1991/03/29???00:47:06,121.17,34.67,3.1,黄海
1991/03/26???02:02:44,113.83,40,6.1,山西大同
1991/03/14???00:31:19,121.1,37.9,4.7,山东长岛东北海中
1991/03/14???04:34:37,121.25,37.95,4.5,山东长岛东北海中
1991/02/26???09:58:50,119.93,37.12,3.6,山东莱州市南
1991/02/26???10:11:49,119.93,37.12,3.4,山东莱州市南
1991/02/09???08:44:35,120.33,33.92,3.6,江苏射阳北
1991/02/07???02:05:43,119.93,37.12,3.3,山东莱州市南
1993/04/30???15:28:51,119.62,38.42,3.2,渤海
1993/04/30???15:30:28,119.7,38.5,3.5,渤海
1993/04/30???15:37:33,119.58,38.33,3.1,渤海
1993/04/25???14:48:43,122.83,39.6,4.2,山东长山群岛
1993/03/29???21:18:29,122.6,36.62,3.1,黄海
1993/03/28???09:16:01,123.6,33.22,5,南黄海
1993/03/18???12:18:57,122.02,39.13,3.8,北黄海
1993/03/17???21:11:35,119.37,37.92,3.2,渤海
1993/03/12???05:55:12,124.5,38.03,3.3,北黄海
1993/03/10???11:05:59,122.18,39.2,4.2,北黄海
1993/02/04???05:08:06,121.13,35.3,3.3,黄海
1993/02/02???03:58:57,121.78,37.02,3,山东乳山东北
1993/01/05???04:54:03,120.32,35.38,3.4,黄海
1992/12/15???21:40:28,119.45,38.12,3.7,渤海
1992/12/15???21:42:47,119.48,38.15,3.5,渤海
1992/12/13???15:51:06,121.18,35.22,3.3,黄海
1992/11/22???05:45:32,121.02,37.28,3,山东栖霞东
1992/11/07???01:59:35,122.03,36.63,3.6,黄海
1992/11/06???08:32:17,122.92,35.28,3.9,黄海
1992/11/04???01:31:23,123.47,35.3,4.9,黄海
1992/11/04???01:42:21,123.33,35.42,3,黄海
1992/11/04???01:54:53,122.55,35.28,3.8,黄海
1992/11/04???12:25:22,122.87,35.38,3.3,黄海
1992/11/03???18:26:21,120.62,34.93,3.1,黄海
1992/10/26???10:51:15,120.15,34,3.1,黄海
1992/10/23???06:02:30,120.43,33.88,4,江苏射阳
1992/10/22???19:07:57,120.45,33.95,4.7,江苏射阳
1992/10/12???14:59:03,121.97,38.23,3.2,黄海
1992/10/12???15:01:37,121.7,37.95,3.6,黄海
1992/09/06???11:58:45,121.48,38.82,3.3,黄海
1992/08/25???03:21:24,121.7,34.2,4.1,黄海
1992/08/25???09:58:15,122.58,39.65,3.4,黄海
1992/08/20???18:58:04,119.37,38.02,3.1,渤海
1992/08/01???02:03:39,122.5,34.75,4.4,黄海
